Generated 1023 waypoints.

[0] x=34.70, y=187.57, z=0.00, yaw=-179.97
[1] x=37.70, y=187.57, z=0.00, yaw=-179.97
[2] x=40.70, y=187.57, z=0.00, yaw=-179.97
[3] x=43.70, y=187.57, z=0.00, yaw=-179.97
[4] x=46.70, y=187.57, z=0.00, yaw=-179.97
[5] x=49.70, y=187.58, z=0.00, yaw=-179.97
[6] x=45.85, y=227.59, z=0.00, yaw=-90.00
[7] x=41.85, y=227.59, z=0.00, yaw=90.00
[8] x=45.85, y=224.59, z=0.00, yaw=-90.00
[9] x=41.85, y=224.59, z=0.00, yaw=90.00
[10] x=45.85, y=221.59, z=0.00, yaw=-90.00
[11] x=41.85, y=221.59, z=0.00, yaw=90.00
[12] x=45.85, y=218.59, z=0.00, yaw=-90.00
[13] x=41.85, y=218.59, z=0.00, yaw=90.00
[14] x=45.85, y=215.59, z=0.00, yaw=-90.00
[15] x=41.85, y=215.59, z=0.00, yaw=90.00
[16] x=45.85, y=212.59, z=0.00, yaw=-90.00
[17] x=41.85, y=212.59, z=0.00, yaw=90.00
[18] x=45.85, y=209.59, z=0.00, yaw=-90.00
[19] x=41.85, y=209.59, z=0.00, yaw=90.00
[20] x=45.85, y=206.59, z=0.00, yaw=-90.00
[21] x=41.85, y=206.59, z=0.00, yaw=90.00
[22] x=45.85, y=203.59, z=0.00, yaw=-90.00
[23] x=41.85, y=203.59, z=0.00, yaw=90.00
[24] x=45.85, y=200.59, z=0.00, yaw=-90.00
[25] x=41.85, y=200.59, z=0.00, yaw=90.00
[26] x=-3.37, y=294.70, z=0.00, yaw=-90.09
[27] x=-7.37, y=294.70, z=0.00, yaw=89.91
[28] x=-3.37, y=291.70, z=0.00, yaw=-90.09
[29] x=-7.37, y=291.70, z=0.00, yaw=89.91
[30] x=-3.38, y=288.70, z=0.00, yaw=-90.09
[31] x=-7.38, y=288.70, z=0.00, yaw=89.91
[32] x=-3.38, y=285.70, z=0.00, yaw=-90.09
[33] x=-7.38, y=285.70, z=0.00, yaw=89.91
[34] x=-3.39, y=282.70, z=0.00, yaw=-90.09
[35] x=-7.39, y=282.70, z=0.00, yaw=89.91
[36] x=-3.39, y=279.70, z=0.00, yaw=-90.09
[37] x=-7.39, y=279.70, z=0.00, yaw=89.91
[38] x=-3.40, y=276.70, z=0.00, yaw=-90.09
[39] x=-7.40, y=276.70, z=0.00, yaw=89.91
[40] x=-3.40, y=273.70, z=0.00, yaw=-90.09
[41] x=-7.40, y=273.70, z=0.00, yaw=89.91
[42] x=-3.41, y=270.70, z=0.00, yaw=-90.09
[43] x=-7.41, y=270.70, z=0.00, yaw=89.91
[44] x=-3.41, y=267.70, z=0.00, yaw=-90.09
[45] x=-7.41, y=267.70, z=0.00, yaw=89.91
[46] x=-3.42, y=264.70, z=0.00, yaw=-90.09
[47] x=-7.42, y=264.70, z=0.00, yaw=89.91
[48] x=-3.42, y=261.70, z=0.00, yaw=-90.09
[49] x=-7.42, y=261.70, z=0.00, yaw=89.91
[50] x=-3.43, y=258.70, z=0.00, yaw=-90.09
[51] x=-7.43, y=258.70, z=0.00, yaw=89.91
[52] x=-3.43, y=255.70, z=0.00, yaw=-90.09
[53] x=-7.43, y=255.70, z=0.00, yaw=89.91
[54] x=-3.44, y=252.70, z=0.00, yaw=-90.09
[55] x=-7.44, y=252.70, z=0.00, yaw=89.91
[56] x=-3.44, y=249.70, z=0.00, yaw=-90.01
[57] x=-7.44, y=249.70, z=0.00, yaw=89.99
[58] x=-3.44, y=246.70, z=0.00, yaw=-90.01
[59] x=-7.44, y=246.70, z=0.00, yaw=89.99
[60] x=-3.44, y=243.70, z=0.00, yaw=-90.01
[61] x=-7.44, y=243.70, z=0.00, yaw=89.99
[62] x=-3.44, y=240.70, z=0.00, yaw=-90.01
[63] x=-7.44, y=240.70, z=0.00, yaw=89.99
[64] x=-3.44, y=237.70, z=0.00, yaw=-90.01
[65] x=-7.44, y=237.70, z=0.00, yaw=89.99
[66] x=-3.44, y=234.70, z=0.00, yaw=-90.01
[67] x=-7.44, y=234.70, z=0.00, yaw=89.99
[68] x=-3.44, y=231.70, z=0.00, yaw=-90.01
[69] x=-7.44, y=231.70, z=0.00, yaw=89.99
[70] x=-3.44, y=228.70, z=0.00, yaw=-90.01
[71] x=-7.44, y=228.70, z=0.00, yaw=89.99
[72] x=-3.45, y=225.70, z=0.00, yaw=-90.01
[73] x=-7.45, y=225.70, z=0.00, yaw=89.99
[74] x=-3.45, y=222.70, z=0.00, yaw=-90.01
[75] x=-7.45, y=222.70, z=0.00, yaw=89.99
[76] x=-3.45, y=219.70, z=0.00, yaw=-90.01
[77] x=-7.45, y=219.70, z=0.00, yaw=89.99
[78] x=-3.45, y=216.70, z=0.00, yaw=-90.01
[79] x=-7.45, y=216.70, z=0.00, yaw=89.99
[80] x=-3.45, y=213.70, z=0.00, yaw=-90.01
[81] x=-7.45, y=213.70, z=0.00, yaw=89.99
[82] x=-3.45, y=210.70, z=0.00, yaw=-90.01
[83] x=-7.45, y=210.70, z=0.00, yaw=89.99
[84] x=-3.45, y=207.70, z=0.00, yaw=-90.01
[85] x=-7.45, y=207.70, z=0.00, yaw=89.99
[86] x=-3.45, y=204.70, z=0.00, yaw=-90.01
[87] x=-7.45, y=204.70, z=0.00, yaw=89.99
[88] x=-3.45, y=201.70, z=0.00, yaw=-90.01
[89] x=-7.45, y=201.70, z=0.00, yaw=89.99
[90] x=-3.46, y=181.24, z=0.00, yaw=-90.01
[91] x=-7.46, y=181.24, z=0.00, yaw=89.99
[92] x=-3.46, y=178.24, z=0.00, yaw=-90.01
[93] x=-7.46, y=178.24, z=0.00, yaw=89.99
[94] x=-3.46, y=175.24, z=0.00, yaw=-90.01
[95] x=-7.46, y=175.24, z=0.00, yaw=89.99
[96] x=-3.46, y=172.24, z=0.00, yaw=-90.01
[97] x=-7.46, y=172.24, z=0.00, yaw=89.99
[98] x=-3.46, y=169.24, z=0.00, yaw=-90.01
[99] x=-7.46, y=169.24, z=0.00, yaw=89.99
[100] x=-3.46, y=166.24, z=0.00, yaw=-90.01
[101] x=-7.46, y=166.24, z=0.00, yaw=89.99
[102] x=-3.46, y=163.24, z=0.00, yaw=-90.01
[103] x=-7.46, y=163.24, z=0.00, yaw=89.99
[104] x=-3.46, y=160.24, z=0.00, yaw=-89.87
[105] x=-7.46, y=160.24, z=0.00, yaw=90.13
[106] x=-3.45, y=157.24, z=0.00, yaw=-89.87
